date,ticker,score,decile,current_weight,model_target_weight,target_weight,delta_weight,current_value,target_value,delta_value,turnover,estimated_cost,action,signal_type,rebalance_due,next_rebalance_date,valid_until,regime_favorable,spy_close,spy_sma_200
2026-03-02,INTU,0.6341,9,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,BRK-B,0.6189,9,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,WFC,0.6136,9,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,BAC,0.5978,9,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,PG,0.5977,9,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,MA,0.5912,8,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,IBM,0.5865,8,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,HD,0.5853,8,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,LLY,0.5821,8,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,DIS,0.5774,8,,0.1,0.1,0.1,,,,0.1,5e-05,BUY,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,SPGI,0.8717,10,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,NFLX,0.7372,10,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,ACN,0.6796,10,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,WMT,0.6659,10,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,NOW,0.6601,10,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
